title,publication_url,institution,institution_url,type,format,price
The Metropolitan Museum Journal,http://www.metmuseum.org/research/metpublications/mma-journals?searchtype=C&pt={AA2EA5AF-D293-44E9-B972-579457F115AB},MET,http://www.metmuseum.org/research/metpublications,Backlist,PDF,0
Tate Papers,"http://www.tate.org.uk/research/publications/search?f%5B%5D=im_vid_48:1884&solrsort=is_end_date%20asc,%20is_start_date%20asc,%20is_published_date%20desc",Tate ,http://www.tate.org.uk/research/publications,Backlist,Website,0
The Camden Town Group in Context ,http://www.tate.org.uk/art/research-publications/camden-town-group,Tate ,http://www.tate.org.uk/research/publications,Collection catalog ,Website,0
"J.M.W. Turner: Sketchbooks, Drawings and Watercolours",http://www.tate.org.uk/art/research-publications/jmw-turner,Tate ,http://www.tate.org.uk/research/publications,Collection catalog ,Website,0
The Art of the Sublime,http://www.tate.org.uk/art/research-publications/the-sublime,Tate ,http://www.tate.org.uk/research/publications,Collection catalog ,Website,0
"In Focus: On Three Posters' 2004, Rabih Mroue'",http://www.tate.org.uk/art/research-publications/rabih-mroue-on-three-posters,Tate ,http://www.tate.org.uk/research/publications,"Online exhibition, scholarly article",Website,0
"In Focus: Wrestlers 1914, cast 1965, by Henri Gaudier-Brzeska",http://www.tate.org.uk/art/research-publications/gaudier-brzeska-wrestlers,Tate ,http://www.tate.org.uk/research/publications,"Online exhibition, scholarly article",Website,0
In Focus: The Singer exhibited 1889 and Applause 1893 by Edward Onslow Ford,http://www.tate.org.uk/art/research-publications/edward-onslow-ford,Tate ,http://www.tate.org.uk/research/publications,"Online exhibition, scholarly article",Website,0
Infinity Net: The Autobiography of Yayoi Kusama,http://www.tate.org.uk/about/business-services/tate-publishing/ebooks#kusama,Tate,http://www.tate.org.uk/research/publications,Art and architecture book ,"ePub, mobi",£8.99
The Unilever Series-Ai Weiwei: Sunflower Seeds,http://www.tate.org.uk/about/business-services/tate-publishing/ebooks#weiwei,Tate,http://www.tate.org.uk/research/publications,Art and architecture book ,"ePub, mobi",£4.99
On My Painting ,http://www.tate.org.uk/about/business-services/tate-publishing/ebooks#beckmann,Tate,http://www.tate.org.uk/research/publications,Art and architecture book ,"ePub, mobi",£2.99
Seen in My Visions: A Descriptive Catalogue of Pictures,http://www.tate.org.uk/about/business-services/tate-publishing/ebooks#blake,Tate,http://www.tate.org.uk/research/publications,Art and architecture book ,"ePub, mobi",£5.99
On Being a Sculptor ,http://www.tate.org.uk/about/business-services/tate-publishing/ebooks#moore,Tate,http://www.tate.org.uk/research/publications,Art and architecture book ,"ePub, mobi",£2.99
Sketches of My Life ,http://www.tate.org.uk/about/business-services/tate-publishing/ebooks#martin,Tate,http://www.tate.org.uk/research/publications,Art and architecture book ,"ePub, mobi",£2.99
How to Paint Like Turner,http://www.tate.org.uk/about/business-services/tate-publishing/ebooks#turner,Tate,http://www.tate.org.uk/research/publications,Art and architecture book ,iBooks Author ,£12.99
Street Art,http://www.tate.org.uk/about/business-services/tate-publishing/ebooks#street,Tate,http://www.tate.org.uk/research/publications,Art and architecture book ,iBooks Author ,£6.99
Art & Visual Culture 1100-1600: Medieval to Renaissance ,http://www.tate.org.uk/about/business-services/tate-publishing/ebooks#visualculture,Tate,http://www.tate.org.uk/research/publications,Art and architecture book ,"ePub, mobi",£19.99
Art & Visual Culture 1600-1850: Academy to Avant-Garde,http://www.tate.org.uk/about/business-services/tate-publishing/ebooks#visualculture,Tate,http://www.tate.org.uk/research/publications,Art and architecture book ,"ePub, mobi",£19.99
Art & Visual Culture1850-2010: Modernity to Globalisation,http://www.tate.org.uk/about/business-services/tate-publishing/ebooks#visualculture,Tate,http://www.tate.org.uk/research/publications,Art and architecture book ,"ePub, mobi",£19.99
Rauschenberg Research Project,http://www.sfmoma.org/explore/collection/project/rauschenberg_research_project,SFMOMA,http://www.sfmoma.org,Collection catalog ,Website,0
Story Board,http://www.sfmoma.org/about/research_projects/storyboard,SFMOMA,http://www.sfmoma.org,Online exhibition,Website,0
Bearing Witness,http://www.sfmoma.org/about/research_projects/bearing_witness,SFMOMA,http://www.sfmoma.org,Symposium ,Website,0
Online research catalogues: African Golds: Weights in the British Museum,http://www.britishmuseum.org/research/online_research_catalogues/agw/african_gold-weights.aspx,British Museum,http://www.britishmuseum.org/research/publications1.aspx,Collection catalog ,Website,0
Online research catalogues: European Bronze Age Gold in the British Museum,http://www.britishmuseum.org/research/online_research_catalogues/bag/bronze_age_gold.aspx,British Museum,http://www.britishmuseum.org/research/publications1.aspx,Collection catalog ,Website,0
Online research catalogues: Naukratis: Greeks in Egypt,http://www.britishmuseum.org/research/online_research_catalogues/ng/naukratis_greeks_in_egypt.aspx,British Museum,http://www.britishmuseum.org/research/publications1.aspx,Collection catalog ,Website,0
Online research catalogues: Asante Gold Regalia in the British Museum collection,http://www.britishmuseum.org/research/online_research_catalogues/ag/asante_gold_regalia.aspx,British Museum,http://www.britishmuseum.org/research/publications1.aspx,Collection catalog ,Website,0
Online research catalogues: The Ramesseum Papyri ,http://www.britishmuseum.org/research/publications/online_research_catalogues/rp/the_ramesseum_papyri.aspx,British Museum,http://www.britishmuseum.org/research/publications1.aspx,Collection catalog ,Website,0
Online research catalogues: Ancient Cyprus at the British Museum ,http://www.britishmuseum.org/research/publications/online_research_catalogues/ancient_cyprus_british_museum.aspx,British Museum,http://www.britishmuseum.org/research/publications1.aspx,Collection catalog ,Website,0
Online research catalogues: Paper money of England and Wales,http://www.britishmuseum.org/research/publications/online_research_catalogues/paper_money/paper_money_of_england__wales.aspx,British Museum,http://www.britishmuseum.org/research/publications1.aspx,Collection catalog ,Website,0
Online research catalogues: Roman RePublican Coins in the British Museum,http://www.britishmuseum.org/research/publications/online_research_catalogues/rrc/roman_rePublican_coins.aspx,British Museum,http://www.britishmuseum.org/research/publications1.aspx,Collection catalog ,Website,0
Online research catalogues: Rembrandt and his School,http://www.britishmuseum.org/research/publications/online_research_catalogues/rembrandt_drawings/drawings_by_rembrandt.aspx,British Museum,http://www.britishmuseum.org/research/publications1.aspx,Collection catalog ,Website,0
Online research catalogues: Russian Icons in the British Museum,http://www.britishmuseum.org/research/publications/online_research_catalogues/russian_icons/catalogue_of_russian_icons.aspx,British Museum,http://www.britishmuseum.org/research/publications1.aspx,Collection catalog ,Website,0
Online journals: British Museum Studies in Ancient Egypt and Sudan ,http://www.britishmuseum.org/research/publications/online_journals/bmsaes.aspx,British Museum,http://www.britishmuseum.org/research/publications1.aspx,Backlist,Website,0
Online journals: British Museum Technical Research Bulletin,http://www.britishmuseum.org/research/publications/online_journals/technical_research_bulletin.aspx,British Museum,http://www.britishmuseum.org/research/publications1.aspx,Backlist,Website,0
Online journals: Bronze Age Review,http://www.britishmuseum.org/research/publications/online_journals/bronze_age_review.aspx,British Museum,http://www.britishmuseum.org/research/publications1.aspx,Backlist,PDF,0
Chinese Painting & Calligraphy ,http://chinesepainting.seattleartmuseum.org/OSCI/,Seattle Art Museum,http://www.seattleartmuseum.org/collections/collection-resources,Collection catalog ,Website,0
Guide to the Wyckoff Porcelain Room,http://www.seattleartmuseum.org/Documents/SAMPorcelainGuide_4mg.PDF,Seattle Art Museum,http://www.seattleartmuseum.org/collections/collection-resources,Collection catalog ,PDF,0
